,Country,HDI Rank (2021),Human Development Index (2021),Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),Happiness Year,Happiness Index,Happiness Rank
0,Afghanistan,180.0,0.478,61.9824,10.26384398,2.98506999,1824.190915,2021.0,2.523,149.0
2,Albania,67.0,0.796,76.4626,14.44799995,11.28645502,14131.11039,2021.0,5.117,93.0
4,United Arab Emirates,26.0,0.911,78.7104,15.71769047,12.69402981,62573.59181,2021.0,6.561,25.0
5,Argentina,47.0,0.842,75.3899,17.8748703,11.14726927,20925.26814,2021.0,5.929,57.0
6,Armenia,85.0,0.759,72.0431,13.11676025,11.33030033,13157.9939,2021.0,5.283,86.0
8,Australia,5.0,0.951,84.5265,21.05459023,12.72681999,49238.43335,2021.0,7.183,11.0
9,Austria,25.0,0.916,81.5797,16.00795937,12.25669003,53618.67138,2021.0,7.268,10.0
10,Azerbaijan,91.0,0.745,69.3658,13.49689007,10.5429697,14256.74456,2021.0,5.171,90.0
11,Burundi,187.0,0.426,61.6627,10.72272189,3.129266883,731.7867086,2021.0,3.775,140.0
12,Belgium,13.0,0.937,81.8787,19.60421944,12.37567997,52293.39977,2021.0,6.834,20.0
13,Benin,166.0,0.525,59.821,10.76667976,4.304786445,3408.965923,2021.0,5.045,99.0
14,Burkina Faso,184.0,0.449,59.2696,9.142100334,2.114962259,2117.915916,2021.0,4.834,113.0
15,Bangladesh,129.0,0.661,72.3811,12.44198036,7.379059792,5472.104781,2021.0,5.025,101.0
16,Bulgaria,68.0,0.795,71.798,13.89729023,11.41318035,23078.95595,2021.0,5.266,88.0
17,Bahrain,35.0,0.875,78.7605,16.29755974,11.04658985,39497.24788,2021.0,6.647,22.0
19,Bosnia and Herzegovina,74.0,0.78,75.3003,13.8,10.53631973,15241.91465,2021.0,5.813,64.0
20,Belarus,60.0,0.808,72.438,15.16996956,12.14358044,18848.96704,2021.0,5.534,75.0
22,Bolivia,118.0,0.692,63.6304,14.94697094,9.827750206,8111.190194,2021.0,5.716,69.0
23,Brazil,87.0,0.754,72.7504,15.59906006,8.128813955,14369.88848,2021.0,6.33,35.0
27,Botswana,117.0,0.693,61.1409,12.26513765,10.34,16198.31841,2021.0,3.467,146.0
29,Canada,15.0,0.936,82.6565,16.39625931,13.83442722,46807.98619,2021.0,7.103,14.0
30,Switzerland,1.0,0.962,83.9872,16.50029945,13.85966015,66933.00454,2021.0,7.571,3.0
31,Chile,42.0,0.855,78.9435,16.73130035,10.9349663,24563.24486,2021.0,6.172,43.0
32,China,79.0,0.768,78.2107,14.2361149,7.600118446,17504.39969,2021.0,5.339,84.0
33,Ivory Coast,159.0,0.55,58.5983,10.67558002,5.199138977,5217.448516,2021.0,5.306,85.0
34,Cameroon,151.0,0.576,60.3334,13.10859922,6.15131,3620.932408,2021.0,5.142,91.0
37,Colombia,88.0,0.752,72.8296,14.44274998,8.862859726,14384.35666,2021.0,6.012,52.0
38,Comoros,156.0,0.558,63.4174,11.92432393,5.078649,3142.064119,2021.0,4.289,131.0
40,Costa Rica,58.0,0.809,77.0232,16.54577065,8.804059982,19974.27358,2021.0,7.069,16.0
42,Cyprus,29.0,0.896,81.2033,15.64826965,12.44017029,38188.42152,2021.0,6.223,39.0
43,Czechia,32.0,0.889,77.7283,16.21968079,12.86931038,38745.21386,2021.0,6.965,18.0
44,Germany,9.0,0.942,80.6301,17.01013947,14.09096691,54534.21682,2021.0,7.155,13.0
47,Denmark,6.0,0.948,81.3753,18.71479988,12.96049023,60364.78595,2021.0,7.62,2.0
48,Dominican Republic,80.0,0.767,72.6146,14.46655802,9.306864107,17989.60037,2021.0,5.545,73.0
49,Algeria,91.0,0.745,76.3767,14.62689602,8.069284397,10800.22546,2021.0,4.887,109.0
50,Ecuador,95.0,0.74,73.67,14.62423038,8.817119598,10311.63273,2021.0,5.764,66.0
51,Egypt,97.0,0.731,70.2207,13.78649972,9.573026174,11731.69056,2021.0,4.283,132.0
53,Spain,27.0,0.905,83.01,17.91690063,10.60540009,38353.60164,2021.0,6.491,27.0
54,Estonia,31.0,0.89,77.1436,15.92895985,13.54843044,38048.26372,2021.0,6.189,40.0
55,Ethiopia,175.0,0.498,64.9748,9.651071421,3.201520681,2361.069604,2021.0,4.275,133.0
56,Finland,11.0,0.94,82.0381,19.05192947,12.87362003,49452.16672,2021.0,7.842,1.0
58,France,28.0,0.903,82.4988,15.81206989,11.61005974,45937.05273,2021.0,6.69,21.0
60,Gabon,112.0,0.706,65.821,12.97731,9.436,13366.93455,2021.0,4.852,112.0
61,United Kingdom,18.0,0.929,80.7422,17.30971909,13.4061203,45224.76564,2021.0,7.064,17.0
62,Georgia,63.0,0.802,71.694,15.56851959,12.82221985,14664.16825,2021.0,4.891,108.0
